status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,state
962522702258016000,2018-02-11T03:04:29Z,7862582,gminks,"This is why I was so upset at the cost of my tamiflu. I asked @Aetna what happens if you can't afford $100, why can't something be done during an epidemic. 
This is horrible. https://t.co/hwgX3fRsI4",Twitter for Android,,,,FALSE,FALSE,1,2,,,twitter.com/crampell/statu…,https://t.co/hwgX3fRsI4,https://twitter.com/crampell/status/962435510726791169,,,,,,,,,16188518,Aetna,en,,,,,https://api.twitter.com/1.1/geo/id/c3f37afa9efcf94b.json,Austin,"Austin, TX",city,United States,US,|,|,-97.928935|-97.5805133|-97.5805133|-97.928935|30.127892|30.127892|30.5187994|30.5187994,Texas
962519926257877000,2018-02-11T02:53:27Z,34322141,RobinWagner8,"@JasperJay40 Ugh this is so problematic. After working in the pharmacy I have learned that Tamiflu is mostly useless, yet people often pay over $100 for it. Agree with your sentiments wholeheartedly. This flu season has taught me a lot though.",Twitter for iPhone,962490597331296000,1019120136,JasperJay40,FALSE,FALSE,2,0,,,,,,,,,,,,,,1019120136,JasperJay40,en,,,,,https://api.twitter.com/1.1/geo/id/00d1c94455339375.json,Greece,"Greece, NY",city,United States,US,|,|,-77.761369|-77.615702|-77.615702|-77.761369|43.178823|43.178823|43.32408|43.32408,New York
962499497594098000,2018-02-11T01:32:17Z,33583726,notakebax,@paulafaris Tamiflu works for alot of folks I know just watch for allergy reactions.  Those that have them are bad.,Twitter for Android,962484391061672000,96848782,paulafaris,FALSE,FALSE,0,0,,,,,,,,,,,,,,96848782,paulafaris,en,,,,,https://api.twitter.com/1.1/geo/id/d80b08cb877e8da3.json,Spring Hill,"Spring Hill, KS",city,United States,US,|,|,-94.83938|-94.806956|-94.806956|-94.83938|38.716043|38.716043|38.77043|38.77043,Kansas
962496290721616000,2018-02-11T01:19:32Z,30137215,major_kk,@GMA y’all take care of @paulafaris for us! We love her as I know you all do. Get her some #TAMIFLU ASAP!!! This #flu is scary this year. #worried 😧,Twitter for iPhone,,22650211,GMA,FALSE,FALSE,0,0,TAMIFLU|flu|worried,,,,,,,,,,,,,22650211|96848782,GMA|paulafaris,en,,,,,https://api.twitter.com/1.1/geo/id/c3f37afa9efcf94b.json,Austin,"Austin, TX",city,United States,US,|,|,-97.928935|-97.5805133|-97.5805133|-97.928935|30.127892|30.127892|30.5187994|30.5187994,Texas
962494778016346000,2018-02-11T01:13:32Z,403771971,LeslieBattenND,@alexhcranz I read this story and wondered why her doctor didn’t suggest over-the-counter Tamiflu rather than a prescribed generic that cost substantially more.,Twitter for iPhone,962415130163245000,65817587,alexhcranz,FALSE,FALSE,0,0,,,,,,,,,,,,,,65817587,alexhcranz,en,,,,,https://api.twitter.com/1.1/geo/id/dc3747428fa88cab.json,Spokane,"Spokane, WA",city,United States,US,|,|,-117.565226|-117.303868|-117.303868|-117.565226|47.5742|47.5742|47.760676|47.760676,Washington
962473320103989000,2018-02-10T23:48:16Z,15812228,TracyNovick,"And Tamiflu is not cheap, even with good health insurance",Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/28db2dbc4240f0b2.json,Worcester,"Worcester, MA",city,United States,US,|,|,-71.893265|-71.731611|-71.731611|-71.893265|42.210065|42.210065|42.341455|42.341455,Massachusetts
962472486666371000,2018-02-10T23:44:57Z,1886966870,Kandysej,"Girl no they didn’t, because I’m a pharmacy tech and you can’t give me any old bs ! Plus I’m allergic to Tamiflu 😢 https://t.co/Bf9OMnGUEe",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,twitter.com/thekanbammz/st…,https://t.co/Bf9OMnGUEe,https://twitter.com/thekanbammz/status/962420089189478401,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/005151f517b0d4f1.json,Lakeland Heights,"Lakeland Heights, TX",city,United States,US,|,|,-97.078573|-96.943763|-96.943763|-97.078573|32.563973|32.563973|32.747383|32.747383,Texas
962459208800244000,2018-02-10T22:52:11Z,759874010,JennaNicoleRose,@jillkgb @alexhcranz I work for the state of Texas. My son needed tamiflu.  It was $60 with insurance.  Luckily I have a flex account.,Twitter for Android,962443171614651000,210497444,jillkgb,FALSE,FALSE,25,1,,,,,,,,,,,,,,210497444|65817587,jillkgb|alexhcranz,en,,,,,https://api.twitter.com/1.1/geo/id/c3bf7e4412fa281d.json,Richmond,"Richmond, TX",city,United States,US,|,|,-95.786253|-95.715457|-95.715457|-95.786253|29.546192|29.546192|29.598952|29.598952,Texas
962438476409995000,2018-02-10T21:29:48Z,65458960,djglidden,@NikkiPa68851103 In addition to large doses of Sinement I take Amentadine daily for the Parkinson's but Amentadine was originally developed for the flu and is very similar to Tamiflu so the two can't be taken together.,Twitter for Android,9.62420584931e+17,955217036262674000,NikkiPa68851103,FALSE,FALSE,2,0,,,,,,,,,,,,,,955217036262674434,NikkiPa68851103,en,,,,,https://api.twitter.com/1.1/geo/id/3e711c16431907f4.json,Lynn,"Lynn, MA",city,United States,US,|,|,-71.01153|-70.92218|-70.92218|-71.01153|42.444954|42.444954|42.51252|42.51252,Massachusetts
962433872741876000,2018-02-10T21:11:31Z,16342328,movinmeat,This sucks on many levels but worth revisiting the fact that Tamiflu has no proven benefit in preventing death from influenza https://t.co/l1htcTjdmu,Tweetbot for iΟS,,,,TRUE,FALSE,25,8,,,twitter.com/alexhcranz/sta…,https://t.co/l1htcTjdmu,https://twitter.com/alexhcranz/status/962415130163245056,,,,,,,,,,,en,962415130163245000,"cool cool cool a 28-year old woman died from flu complications because she couldn’t afford a $116 copay.

https://t.co/pha7XuOy42",,,https://api.twitter.com/1.1/geo/id/59454533edec2571.json,Woodinville,"Woodinville, WA",city,United States,US,|,|,-122.1764064|-122.108973|-122.108973|-122.1764064|47.723831|47.723831|47.776251|47.776251,Washington
