status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,lng,lat,state
973016655533093000,2018-03-12T02:03:43Z,20162446,molliechen,"winter food fatigue calls for crunchy, acidic, herby things: chermoula hake in parchment from… https://t.co/6XPqAG3pLu",Instagram,,,,FALSE,FALSE,0,0,,,instagram.com/p/BgNKmTfj_md/,https://t.co/6XPqAG3pLu,https://www.instagram.com/p/BgNKmTfj_md/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json,Brooklyn,"Brooklyn, NY",city,United States,US,40.685278|-73.986944,-73.986944|40.685278,-74.041878|-73.855673|-73.855673|-74.041878|40.570842|40.570842|40.739434|40.739434,-73.9487755,40.655138,New York
973015952299143000,2018-03-12T02:00:55Z,251421987,TrussLexx,🎬 : 2.24.18 — Running camera tests w/ moscotographer #FATIGUE #RedRaven #trussfilm @ Flash… https://t.co/am4Sp1ejlY,Instagram,,,,FALSE,FALSE,0,0,FATIGUE|RedRaven|trussfilm,,instagram.com/p/BgNJplrA5F8/,https://t.co/am4Sp1ejlY,https://www.instagram.com/p/BgNJplrA5F8/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json,Los Angeles,"Los Angeles, CA",city,United States,US,34.21379|-118.4634,-118.4634|34.21379,-118.668404|-118.155409|-118.155409|-118.668404|33.704538|33.704538|34.337041|34.337041,-118.4119065,34.0207895,California
972997400406249000,2018-03-12T00:47:12Z,2358436874,FiorellaEats,"I guarantee you you are not drinking enough water! Dehydration can cause low energy, fatigue,… https://t.co/wzruGhOfBU",Instagram,,,,FALSE,FALSE,0,0,,,instagram.com/p/BgNA6mGHS7y/,https://t.co/wzruGhOfBU,https://www.instagram.com/p/BgNA6mGHS7y/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,Manhattan,"Manhattan, NY",city,United States,US,40.7142|-74.0064,-74.0064|40.7142,-74.026675|-73.910408|-73.910408|-74.026675|40.683935|40.683935|40.877483|40.877483,-73.9685415,40.780709,New York
972995802711843000,2018-03-12T00:40:51Z,258032124,ChiefScientist,@kf What are the main contributors to Portland fatigue?  Is it the rain?  The cold?  The drizzle?  The precipitation?:),Twitter for iPhone,972987039049069000,7178502,kf,FALSE,FALSE,1,0,,,,,,,,,,,,,,7178502,kf,en,,,,,https://api.twitter.com/1.1/geo/id/ab2f2fac83aa388d.json,Oakland,"Oakland, CA",city,United States,US,|,|,-122.34266|-122.114711|-122.114711|-122.34266|37.699279|37.699279|37.8847092|37.8847092,-122.2286855,37.7919941,California
972994633788740000,2018-03-12T00:36:12Z,344300125,smwmariee,"Day 10; Distractions
Sorry I'm a day late, again. Sleep is my only distraction from the pain. I spend 90% of my time fatigued from the pain wracking my body anyways. 😴
#TheEndoPhotoChallenge2018 💪🏻👊🏻🎗💛 https://t.co/zoMFHCeMqo",Twitter for Android,,,,FALSE,FALSE,0,0,TheEndoPhotoChallenge2018,,,,,http://pbs.twimg.com/media/DYDFdJ-VQAM65AU.jpg,https://t.co/zoMFHCeMqo,https://twitter.com/smwmariee/status/972994633788739584/photo/1,photo,http://pbs.twimg.com/media/DYDFdJ-VQAM65AU.jpg,https://t.co/zoMFHCeMqo,https://twitter.com/smwmariee/status/972994633788739584/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/0093ddf6210bb9d2.json,Lake Delta,"Lake Delta, NY",city,United States,US,|,|,-75.487713|-75.447476|-75.447476|-75.487713|43.275784|43.275784|43.306873|43.306873,-75.4675945,43.2913285,New York
972965706940736000,2018-03-11T22:41:16Z,81402786,Todd_Wayy,"When the fatigue kicks in push even harder #wayyfam  #livetoinspire #beardgame @ Houston, Texas https://t.co/9921FRozDR",Instagram,,,,FALSE,FALSE,0,0,wayyfam|livetoinspire|beardgame,,instagram.com/p/BgMzbshB7Kn/,https://t.co/9921FRozDR,https://www.instagram.com/p/BgMzbshB7Kn/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,Houston,"Houston, TX",city,United States,US,29.7629|-95.3832,-95.3832|29.7629,-95.823268|-95.069705|-95.069705|-95.823268|29.522325|29.522325|30.1546646|30.1546646,-95.4464865,29.8384948,Texas
972964263663952000,2018-03-11T22:35:31Z,220923989,JoshSeguin24,Dartmouth looks well fatigued,Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/fb3aafdc1555efcf.json,Portsmouth,"Portsmouth, NH",city,United States,US,|,|,-70.820242|-70.737324|-70.737324|-70.820242|43.0136731|43.0136731|43.098556|43.098556,-70.778783,43.05611455,New Hampshire
972963481229050000,2018-03-11T22:32:25Z,3237510143,firestarter13_a,@TrueFactsStated Yes. And they can be fully automatic in less than a minute. With vice grips. Fatigue the metal fire tab.  Breaks off. Trigger selector can be set lower to full auto. Very bad.,Twitter for iPhone,972956730983440000,2889924959,TrueFactsStated,FALSE,FALSE,1,0,,,,,,,,,,,,,,2889924959,TrueFactsStated,en,,,,,https://api.twitter.com/1.1/geo/id/895f19a3c08d3d35.json,Ontario,"Ontario, CA",city,United States,US,|,|,-117.6836|-117.5239664|-117.5239664|-117.6836|33.997213|33.997213|34.093104|34.093104,-117.6037832,34.0451585,California
972960457332990000,2018-03-11T22:20:24Z,22057463,nakolo61,"@oakland510 Every expert has been talking flipping the switch for 3 weeks now.  Then either fatigue or not yet or need for rest excuses are brought up from  players and/or coaches comes up.

There aint no switch.  This is them.",Twitter for Android,972957330664018000,33636415,oakland510,FALSE,FALSE,0,0,,,,,,,,,,,,,,33636415,oakland510,en,,,,,https://api.twitter.com/1.1/geo/id/003253f0107acd32.json,Dublin,"Dublin, CA",city,United States,US,|,|,-121.979522|-121.8495354|-121.8495354|-121.979522|37.697406|37.697406|37.7336557|37.7336557,-121.9145287,37.71553085,California
972958207818703000,2018-03-11T22:11:28Z,22298549,mhrob,"@SteveKerr What caught up with the team is not fatigue. It’s the lax attitude from the first two-thirds of the season, now a habit. The team is out of shape (injuries), sloppy mentally, not disciplined enough to make it out of the West. Time to be honest guys. #NoWarriorsFinals",Twitter for iPhone,,27529312,SteveKerr,FALSE,FALSE,0,2,NoWarriorsFinals,,,,,,,,,,,,,27529312,SteveKerr,en,,,,,https://api.twitter.com/1.1/geo/id/fbd6d2f5a4e4a15e.json,California,"California, USA",admin,United States,US,|,|,-124.482003|-114.131212|-114.131212|-124.482003|32.528832|32.528832|42.009519|42.009519,-119.3066075,37.2691755,California
